date,material,price,unit,location,source,retail_or_wholesale,data_type,notes
01/01/2025,steel,196.18,pc,Davao City - Poblacion,Wilcon Depot,retail,synthetic,Based on public price range interpolation
01/01/2025,steel,190.02,pc,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
01/01/2025,steel,178.61,pc,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,steel,184.13,pc,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
01/01/2025,steel,181.3,pc,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,steel,184.08,pc,Davao City - Panacan,City Hardware,retail,synthetic,Based on public price range interpolation
01/01/2025,steel,175.93,pc,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,cement,291.88,bag,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
01/01/2025,cement,284.62,bag,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
01/01/2025,cement,256.54,bag,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,cement,269.43,bag,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,cement,262.89,bag,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,cement,277.4,bag,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,cement,262.81,bag,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,sand,1402.07,cubic_m,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
01/01/2025,sand,1393.58,cubic_m,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
01/01/2025,sand,1293.77,cubic_m,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,sand,1342.12,cubic_m,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,sand,1282.15,cubic_m,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,sand,1295.01,cubic_m,Davao City - Panacan,City Hardware,retail,synthetic,Based on public price range interpolation
01/01/2025,sand,1317.32,cubic_m,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,gravel,1485.33,cubic_m,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
01/01/2025,gravel,1453.83,cubic_m,Davao City - Buhangin,CitiHardware,retail,synthetic,Based on public price range interpolation
01/01/2025,gravel,1412.04,cubic_m,Davao City - Toril,Davies Hardware,retail,synthetic,Based on public price range interpolation
01/01/2025,gravel,1471.42,cubic_m,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,gravel,1382.22,cubic_m,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,gravel,1417.71,cubic_m,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,gravel,1383.62,cubic_m,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,lumber,749.04,pc,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
01/01/2025,lumber,757.28,pc,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
01/01/2025,lumber,702.93,pc,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,lumber,714.45,pc,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
01/01/2025,lumber,674.74,pc,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,lumber,714.23,pc,Davao City - Panacan,City Hardware,retail,synthetic,Based on public price range interpolation
01/01/2025,lumber,705.45,pc,Davao City - Mintal,Ace Hardware,retail,synthetic,Based on public price range interpolation
01/01/2025,plywood,877.04,sheet,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
01/01/2025,plywood,830.42,sheet,Davao City - Buhangin,CitiHardware,retail,synthetic,Based on public price range interpolation
01/01/2025,plywood,790.48,sheet,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
